ts,ts_iso,stack,node,pid,rss_kb,pcpu,phase_hint
1786352395.085,2026-08-10T08:59:55Z,flat,r1c1,2450299,24740,2.4,commit
1786352395.085,2026-08-10T08:59:55Z,flat,r1c2,2450289,24656,2.1,commit
1786352395.085,2026-08-10T08:59:55Z,flat,r1c3,2451151,24676,2.0,commit
1786352395.085,2026-08-10T08:59:55Z,flat,r1c4,2451185,24656,2.2,commit
1786352395.085,2026-08-10T08:59:55Z,flat,r1c5,2450481,24700,2.2,commit
1786352395.085,2026-08-10T08:59:55Z,flat,r1c6,2450300,24616,2.1,commit
1786352395.085,2026-08-10T08:59:55Z,flat,r2c1,2450298,24704,2.1,commit
1786352395.085,2026-08-10T08:59:55Z,flat,r2c2,2450296,24648,2.4,commit
1786352395.085,2026-08-10T08:59:55Z,flat,r2c3,2451192,24668,2.2,commit
1786352395.085,2026-08-10T08:59:55Z,flat,r2c4,2451191,24552,2.2,commit
1786352395.085,2026-08-10T08:59:55Z,flat,r2c5,2450490,24584,2.2,commit
1786352395.085,2026-08-10T08:59:55Z,flat,r2c6,2450323,24596,2.1,commit
1786352395.085,2026-08-10T08:59:55Z,flat,r3c1,2450284,24640,2.1,commit
1786352395.085,2026-08-10T08:59:55Z,flat,r3c2,2450382,24696,2.1,commit
1786352395.085,2026-08-10T08:59:55Z,flat,r3c3,2451008,24684,2.2,commit
1786352395.085,2026-08-10T08:59:55Z,flat,r3c4,2450913,24580,2.0,commit
1786352395.085,2026-08-10T08:59:55Z,flat,r3c5,2450449,24640,2.4,commit
1786352395.085,2026-08-10T08:59:55Z,flat,r3c6,2450495,24604,2.2,commit
1786352395.085,2026-08-10T08:59:55Z,flat,r4c1,2450360,24808,2.1,commit
1786352395.085,2026-08-10T08:59:55Z,flat,r4c2,2450332,24584,2.1,commit
